GEOID,Percent low income,Margin of Error
1500000US340010001001,0.6899383983572895,0.1782938830646236
1500000US340010001002,0.5851142225497421,0.1576775048780055
1500000US340010002001,0.4600267976775346,0.2531057569165981
1500000US340010002002,0.3795620437956204,0.2318051246009719
1500000US340010002003,0.21739130434782605,0.1903082674318028
1500000US340010003001,0.587793427230047,0.2005449712233222
1500000US340010003002,0.6063535911602209,0.1697361561409212
1500000US340010003003,0.4725146198830409,0.2082300273338738
1500000US340010004001,0.6426086956521739,0.1247050591339481
1500000US340010004002,0.7311028500619579,0.1676847872473138
1500000US340010004003,0.7192763568309419,0.1537075823397767
1500000US340010005001,0.7682648401826484,0.1720863015909971
1500000US340010005002,0.6172668513388735,0.1361291392904631
1500000US340010011001,0.48692810457516345,0.2228781982935335
1500000US340010011002,0.5701598579040853,0.1998926125592994
1500000US340010012001,0.3475314617618587,0.2796182127549361
1500000US340010012002,0.37049941927990704,0.2050678857737831
1500000US340010012003,0.4795698924731183,0.2726745202617571
1500000US340010013001,0.33333333333333337,0.1693933231240091
1500000US340010013002,0.342296511627907,0.1728363361336182
1500000US340010014001,0.9191456903127384,0.0941056775673453
1500000US340010014002,0.31837606837606836,0.2982129266399212
1500000US340010014003,0.6761565836298933,0.1562237708791427
1500000US340010015001,0.8801498127340824,0.083944863444504
1500000US340010015002,0.6691729323308271,0.2312146246693687
1500000US340010019001,0.7281553398058254,0.1626181287073642
1500000US340010019002,0.621900826446281,0.2262048289933954
1500000US340010023001,0.7383928571428572,0.1813651761583957
1500000US340010023002,0.7265481299816063,0.1192441447284035
1500000US340010024001,0.6815834767641997,0.3285433246211337
1500000US340010024002,0.928125,0.072590341795906
1500000US340010024003,0.9128113879003559,0.1330649556617793
1500000US340010024004,0.6777609682299547,0.1677864726589389
1500000US340010025001,0.6324237560192617,0.1987693231793606
1500000US340010025002,0.8956602031394276,0.0896945383208133
1500000US340010025003,0.1132075471698113,0.2228501499592744
1500000US340010025004,0.6257110352673493,0.1497925080884428
1500000US340010101011,0.12994350282485878,0.1431859611486348
1500000US340010101012,0.1932938856015779,0.1279536998270601
1500000US340010101013,0.07494646680942196,0.1032546524628699
1500000US340010101014,0.20335820895522383,0.1577824745326483
1500000US340010101021,0.09739130434782595,0.0757576094339485
1500000US340010101022,0.28693181818181823,0.2321349628779433
1500000US340010101023,0.14519427402862983,0.0879083556731533
1500000US340010101041,0.12734864300626303,0.1054521710057053
1500000US340010101042,0.2205387205387206,0.0877724400699261
1500000US340010101051,0.2359154929577465,0.1065960272587553
1500000US340010101052,0.5578034682080926,0.1935043335526921
1500000US340010101053,0.21104815864022664,0.1391758219798999
1500000US340010102001,0.24767225325884545,0.1752238949320289
1500000US340010102002,0.18382352941176472,0.1517784562269539
1500000US340010102003,0.41640378548895896,0.2558466545581437
1500000US340010102004,0.056154282473057204,0.0970739636049815
1500000US340010102005,0.0,0.0
1500000US340010103001,0.27677224736048267,0.1598477731804115
1500000US340010103002,0.31188118811881194,0.11074059065369
1500000US340010104011,0.18095238095238098,0.1266514025687533
1500000US340010104012,0.09603617983506241,0.078630499336739
1500000US340010104013,0.3109843081312411,0.1977195346267098
1500000US340010104031,0.04668674698795183,0.0631717964496577
1500000US340010104032,0.3431827775432672,0.2232905659885574
1500000US340010104033,0.25920107719928187,0.1772317374726071
1500000US340010105011,0.2726045883940621,0.1385175628954026
1500000US340010105012,0.05161290322580636,0.0286762304349399
1500000US340010105013,0.12964054213317622,0.0772914312049607
1500000US340010105014,0.05678934010152281,0.0410930066504473
1500000US340010105031,0.3006833712984055,0.202793007203785
