GEOID,Estimate,Margin of Error
1500000US340010001001,0.31006160164271046,0.1782938830646236
1500000US340010001002,0.4148857774502579,0.15767750487800558
1500000US340010002001,0.5399732023224654,0.25310575691659815
1500000US340010002002,0.6204379562043796,0.2318051246009719
1500000US340010002003,0.782608695652174,0.19030826743180282
1500000US340010003001,0.41220657276995304,0.20054497122332227
1500000US340010003002,0.393646408839779,0.16973615614092122
1500000US340010003003,0.5274853801169591,0.20823002733387388
1500000US340010004001,0.35739130434782607,0.12470505913394814
1500000US340010004002,0.26889714993804215,0.16768478724731387
1500000US340010004003,0.280723643169058,0.1537075823397767
1500000US340010005001,0.2317351598173516,0.17208630159099716
1500000US340010005002,0.3827331486611265,0.13612913929046314
1500000US340010011001,0.5130718954248366,0.22287819829353359
1500000US340010011002,0.42984014209591476,0.19989261255929944
1500000US340010012001,0.6524685382381413,0.2796182127549361
1500000US340010012002,0.629500580720093,0.20506788577378313
1500000US340010012003,0.5204301075268817,0.27267452026175715
1500000US340010013001,0.6666666666666666,0.16939332312400918
1500000US340010013002,0.657703488372093,0.17283633613361823
1500000US340010014001,0.08085430968726164,0.09410567756734536
1500000US340010014002,0.6816239316239316,0.2982129266399212
1500000US340010014003,0.3238434163701068,0.15622377087914274
1500000US340010015001,0.1198501872659176,0.08394486344450407
1500000US340010015002,0.3308270676691729,0.23121462466936876
1500000US340010019001,0.27184466019417475,0.16261812870736425
1500000US340010019002,0.378099173553719,0.22620482899339545
1500000US340010023001,0.26160714285714287,0.18136517615839576
1500000US340010023002,0.2734518700183936,0.11924414472840357
1500000US340010024001,0.31841652323580033,0.3285433246211337
1500000US340010024002,0.071875,0.07259034179590608
1500000US340010024003,0.08718861209964412,0.1330649556617793
1500000US340010024004,0.32223903177004537,0.1677864726589389
1500000US340010025001,0.36757624398073835,0.19876932317936066
1500000US340010025002,0.10433979686057249,0.0896945383208133
1500000US340010025003,0.8867924528301887,0.22285014995927444
1500000US340010025004,0.3742889647326507,0.14979250808844288
1500000US340010101011,0.8700564971751412,0.1431859611486348
1500000US340010101012,0.8067061143984221,0.12795369982706017
1500000US340010101013,0.9250535331905781,0.10325465246286994
1500000US340010101014,0.7966417910447762,0.15778247453264832
1500000US340010101021,0.9026086956521739,0.07575760943394855
1500000US340010101022,0.7130681818181818,0.2321349628779433
1500000US340010101023,0.8548057259713702,0.08790835567315339
1500000US340010101041,0.872651356993737,0.10545217100570538
1500000US340010101042,0.7794612794612794,0.0877724400699261
1500000US340010101051,0.7640845070422535,0.10659602725875539
1500000US340010101052,0.4421965317919075,0.19350433355269214
1500000US340010101053,0.7889518413597734,0.13917582197989992
1500000US340010102001,0.7523277467411545,0.17522389493202895
1500000US340010102002,0.8161764705882353,0.15177845622695393
1500000US340010102003,0.583596214511041,0.2558466545581437
1500000US340010102004,0.9438457175269427,0.09707396360498159
1500000US340010102005,1.0,0.0
1500000US340010103001,0.7232277526395173,0.15984777318041157
1500000US340010103002,0.6881188118811881,0.11074059065369007
1500000US340010104011,0.819047619047619,0.1266514025687533
1500000US340010104012,0.9039638201649375,0.07863049933673903
1500000US340010104013,0.6890156918687589,0.19771953462670983
1500000US340010104031,0.9533132530120482,0.06317179644965779
1500000US340010104032,0.6568172224567328,0.22329056598855748
1500000US340010104033,0.7407989228007181,0.1772317374726071
1500000US340010105011,0.7273954116059379,0.13851756289540268
1500000US340010105012,0.9483870967741935,0.0286762304349399
1500000US340010105013,0.8703594578668238,0.07729143120496075
1500000US340010105014,0.9432106598984772,0.04109300665044735
1500000US340010105031,0.6993166287015945,0.20279300720378501
1500000US340010105032,0.7892190739460954,0.24265188735850954
1500000US340010105033,0.5694277711084433,0.1880099555933611
1500000US340010105034,0.9201369081574444,0.052038710882467136
1500000US340010105051,0.8566978193146417,0.1435862245670689
1500000US340010105052,0.7293921731890092,0.11709935629105095
1500000US340010105061,0.7449741527857553,0.24963824074197244
1500000US340010105062,0.8687089715536105,0.08981698587145416
1500000US340010105063,0.884514435695538,0.06937198492428583
1500000US340010106001,0.7471967380224261,0.15406269239281195
1500000US340010106002,0.7397355601948504,0.12273807023674316
1500000US340010106003,0.6804780876494024,0.19350637763806713
1500000US340010106004,0.28530259365994237,0.19334979799015084
1500000US340010107001,0.9863945578231292,0.02286853271599835
1500000US340010107002,0.9142670157068062,0.0744080532756955
1500000US340010107003,0.7080581241743725,0.17713669103296906
1500000US340010107004,0.7968253968253968,0.13472452501693244
1500000US340010108001,0.6512141280353201,0.21645565923295662
1500000US340010108002,0.7020997375328084,0.2172998532337737
1500000US340010109001,0.764748725418791,0.1740675455746704
1500000US340010109002,0.7777314428690576,0.18192000562619703
1500000US340010109003,0.7392839132627332,0.1086157384108322
1500000US340010110001,0.7649857278782112,0.1604025279758702
1500000US340010110002,0.8593394077448747,0.058968794947485234
1500000US340010111001,0.8765652951699463,0.15092088480649604
1500000US340010111002,0.6507462686567164,0.1616644565833893
1500000US340010111003,0.8216159496327388,0.1350292621767114
1500000US340010112011,0.8415124698310539,0.06669250360058349
1500000US340010112012,0.8188976377952756,0.10730621695076037
1500000US340010112021,0.9778663125276671,0.023141293835330576
1500000US340010112022,0.6782608695652174,0.16159250961577437
1500000US340010112023,0.763718820861678,0.14699795163840512
1500000US340010112024,0.55704270235819,0.14809205806750728
1500000US340010113001,0.767175572519084,0.17297222115520233
1500000US340010113002,0.7685241886099204,0.12437015185800579
1500000US340010113003,0.8341273278475531,0.07091874888834536
1500000US340010114011,0.8684070324986681,0.06595033224098532
1500000US340010114012,0.6539379474940334,0.2328678828127815
