GEOID,Percent low income,Margin of Error
340210043161,0.0351185250219492,0.0315073172759742
340210043162,0.0816944024205748,0.0546314069922708
340210043163,0.0198092443140132,0.0330595009369994
340210044031,0.0930773705642815,0.0787098191646593
340210044032,0.0708176530961339,0.0573279059827615
340210044033,0.2127659574468084,0.1415958266183168
340210044041,0.1248064416227934,0.10857701344814
340210044042,0.1939594148183104,0.1178853609472173
340210044043,0.2762253779202932,0.1911185638573972
340210044044,0.0228384991843392,0.0449906603415128
340210044061,0.0371835443037974,0.0489843283804141
340210044062,0.1664098613251156,0.1177225334599368
340210044063,0.095354523227384,0.0988691143894148
340210044064,0.4075691411935953,0.2140286088107054
340210044071,0.0362087326943556,0.0609096131654664
340210044072,0.0411311053984575,0.0641448570313139
340210044073,0.0601503759398496,0.0499441817299278
340210044074,0.3281609195402298,0.1293236014876505
340210044081,0.2778561354019746,0.2772251699385535
340210044082,0.0066953610712577,0.0117238344034588
340210044083,0.0479774223894637,0.049180933814786
340210044091,0.0906040268456376,0.0654214067193274
340210044092,0.0233372228704783,0.0342364431522547
340210044093,0.2364341085271317,0.2437480770958861
340210045011,1.0,0.0
340210045012,0.2096069868995633,0.1178865747694204
340210045013,0.064516129032258,0.0546752949079792
340210045021,0.3052464228934817,0.1419600622437833
340210045022,0.1376146788990825,0.1255803435443663
340230001011,0.0136892539356605,0.0150662022487956
340230001012,0.0198329853862212,0.0264424175274643
340230001021,0.3875530410183875,0.2380188129596498
340230001022,0.0329466357308584,0.0315457218972556
340230001023,0.1266666666666667,0.1094081554108131
340230001024,0.1538461538461538,0.2382314917575647
340230002001,0.0358521787093215,0.0412596216971944
340230002002,0.2757793764988009,0.1518662239244408
340230002003,0.2805066419524251,0.1591554206120247
340230002004,0.5299586776859504,0.2520254291932672
340230003001,0.3615903975993998,0.2213375967269213
340230003002,0.3550524572059635,0.329482749577132
340230003003,0.1802610114192495,0.1824396394680721
340230003004,0.1202330508474576,0.0916220871543417
340230004011,0.2244582043343653,0.2277943341556559
340230004012,0.1364744110479285,0.1699049790551637
340230004013,0.035035035035035,0.0429325882136871
340230004031,0.04822695035461,0.0466349571057752
340230004032,0.0235558048233314,0.040947152722246
340230004033,0.053742802303263,0.0322967036722965
340230004041,0.1661849710982659,0.2090874119367734
340230004042,0.3065630397236615,0.2218480190679937
340230004043,0.1463140123804164,0.0896869872113859
340230004044,0.1138952164009111,0.0967290674171747
340230005011,0.201430274135876,0.159509566519203
340230005012,0.071703932151118,0.0640057769540902
340230005013,0.2169285352255449,0.1716877274391756
340230005031,0.0724381625441695,0.1048940743525291
340230005032,0.1415579280347964,0.084599329397458
340230005041,0.1570291777188328,0.1088735606017931
340230005042,0.1235244519392917,0.0994023954314457
340230005043,0.2108527131782945,0.152602492486439
340230006031,0.034529451591063,0.0240294271416424
340230006032,0.1085043988269794,0.0732923796000481
340230006081,0.1574846967167501,0.0693481653308432
340230006091,0.1214534594325534,0.10384896957261
340230006092,0.3743589743589743,0.1837985821836754
340230006101,0.0871212121212121,0.1110466549162104
340230006102,0.0270986745213549,0.029292738372287
340230007011,0.1488801054018445,0.2198156893846878
340230007012,0.0297656744775174,0.0267752187848925
340230007013,0.1860215053763441,0.0928256514918636
340230007021,0.1330362826225334,0.105658971075111
340230007022,0.3023648648648649,0.1647438274162651
340230007023,0.1091609589041096,0.0913718556698219
340230007024,0.0060189165950127,0.0092456195720513
340230008011,0.0287286063569681,0.0371779846249265
340230008012,0.0693196405648266,0.0793912873774103
340230008013,0.0386542591266999,0.0391207482790573
340230008021,0.0960893854748603,0.0841633656716946
340230008022,0.2350230414746543,0.1549540812629137
340230009011,0.1241803278688524,0.065003069236834
340230009021,0.0208728652751424,0.0341067662448199
340230009022,0.1029551954242135,0.0812937523833437
340230009023,0.1057401812688821,0.0586547550983508
340230009024,0.0512422360248447,0.0599850360246125
340230009025,0.1105072463768116,0.1161660190057034
340230010011,0.0736648250460404,0.0481689609582779
340230010031,0.0,0.0
340230010032,0.1603273952816561,0.2111561017660959
340230010033,0.0493012422360248,0.0705027576345884
340230010041,0.0800542740841248,0.0916306153704397
340230010042,0.1074188562596599,0.0928539657988199
340230011001,0.1198501872659175,0.0847021839594754
340230011002,0.2532078699743371,0.2677106738423656
340230011003,0.227385071675729,0.1012625715113755
340230012001,0.3119755911517925,0.2648496919402177
340230012002,0.0868347338935574,0.159197453467485
340230012003,0.1959459459459459,0.1122050805395577
340230012004,0.3023861171366594,0.1337318524314727
340230013001,0.1374358974358974,0.088333749043711
340230013002,0.1068777832756061,0.074814471609542
340230013003,0.1405492730210016,0.0912612236017971
340230014091,0.0649202733485193,0.0874489032400434
340230014092,0.0453053184504268,0.0466687430523712
340230014093,0.0070298769771528,0.016765983611366
340230014101,0.0869837296620775,0.0670663678397891
340230014102,0.3412359113874854,0.1068756696062362
340230014111,0.05,0.0649123287450372
340230014112,0.0194986072423399,0.0289379143278587
340230014113,0.0584415584415584,0.0758693795568456
340230014121,0.0787315472936032,0.0959686630274929
340230014122,0.0267077555213147,0.0236854599751363
340230014131,0.3738250180766449,0.1601306385035172
340230014132,0.0509933774834435,0.0454520676627751
340230014133,0.116851168511685,0.1185021857033648
340230014141,0.0113821138211381,0.0210141187059263
340230014142,0.0565709312445603,0.1009020851745051
340230014143,0.0,0.0
340230014144,0.0546875,0.0550176469183799
340230014151,0.0482142857142857,0.0436071855228665
340230014152,0.0337078651685391,0.0528783852386948
340230014153,0.067524115755627,0.048941025954396
340230014154,0.0576540755467196,0.0722920125815088
340230014155,0.0123456790123456,0.0204939062245993
340230014171,0.0283261802575107,0.0303589368733148
340230014172,0.0413625304136252,0.0471093743400748
340230014181,0.2795315682281059,0.2097955727941641
340230014182,0.1013289036544851,0.0963672026924238
340230014183,0.1900497512437811,0.1491468409911827
340230014184,0.0,0.0
340230014191,0.0,0.0
340230014192,0.1102337334175616,0.0643426077135632
340230015021,0.0424908424908424,0.0570541531622687
340230015022,0.0940420560747663,0.0722257597277663
340230015023,0.0881147540983607,0.1058348003461386
340230015024,0.2671721677074041,0.1470187300133978
340230015041,0.0441988950276244,0.0738618785133078
340230015042,0.3519163763066202,0.3594779942593581
340230015043,0.0914216673378975,0.0547561599937204
340230015044,0.0702160493827159,0.0646113708870401
340230015045,0.182755388940956,0.120535571732455
340230015051,0.0892682926829268,0.0514725096208619
